"Location","Symbol","Year","Parameter","Month","Value"
"Mirpur Bridge","L1",2023,"pH","December",7.92
"Mirpur Bridge","L1",2010,"DO","January",0.8
"Mirpur Bridge","L1",2010,"DO","February",1.5
"Mirpur Bridge","L1",2010,"DO","March",1.6
"Mirpur Bridge","L1",2010,"DO","April",3
"Mirpur Bridge","L1",2010,"DO","May",0.8
"Mirpur Bridge","L1",2010,"DO","June",1.5
"Mirpur Bridge","L1",2010,"DO","July",2
"Mirpur Bridge","L1",2010,"DO","August",2.2
"Mirpur Bridge","L1",2010,"DO","September",2.5
"Mirpur Bridge","L1",2010,"DO","October",5
"Mirpur Bridge","L1",2010,"DO","November",4
"Mirpur Bridge","L1",2010,"DO","December",2.5
"Mirpur Bridge","L1",2011,"DO","January",0.9
"Mirpur Bridge","L1",2011,"DO","February",0.7
"Mirpur Bridge","L1",2011,"DO","March",1.7
"Mirpur Bridge","L1",2011,"DO","April",3.8
"Mirpur Bridge","L1",2011,"DO","May",0.7
"Mirpur Bridge","L1",2011,"DO","June",1.8
"Mirpur Bridge","L1",2011,"DO","July",2.5
"Mirpur Bridge","L1",2011,"DO","August",2.4
"Mirpur Bridge","L1",2011,"DO","September",2.6
"Mirpur Bridge","L1",2011,"DO","October",5.1
"Mirpur Bridge","L1",2011,"DO","November",4.2
"Mirpur Bridge","L1",2011,"DO","December",2.4
"Mirpur Bridge","L1",2012,"DO","January",0.7
"Mirpur Bridge","L1",2012,"DO","February",1
"Mirpur Bridge","L1",2012,"DO","March",0.7
"Mirpur Bridge","L1",2012,"DO","April",0.7
"Mirpur Bridge","L1",2012,"DO","May",0.8
"Mirpur Bridge","L1",2012,"DO","June",1.5
"Mirpur Bridge","L1",2012,"DO","July",4.6
"Mirpur Bridge","L1",2012,"DO","August",4.1
"Mirpur Bridge","L1",2012,"DO","September",4.43
"Mirpur Bridge","L1",2012,"DO","October",5
"Mirpur Bridge","L1",2012,"DO","November",2.83
"Mirpur Bridge","L1",2012,"DO","December",1.16
"Mirpur Bridge","L1",2013,"DO","January",1.52
"Mirpur Bridge","L1",2013,"DO","February",0.79
"Mirpur Bridge","L1",2013,"DO","March",2.88
"Mirpur Bridge","L1",2013,"DO","April",1.82
"Mirpur Bridge","L1",2013,"DO","May",2.47
"Mirpur Bridge","L1",2013,"DO","June",2.5
"Mirpur Bridge","L1",2013,"DO","July",3.1
"Mirpur Bridge","L1",2013,"DO","August",NA
"Mirpur Bridge","L1",2013,"DO","September",4.34
"Mirpur Bridge","L1",2013,"DO","October",3
"Mirpur Bridge","L1",2013,"DO","November",4
"Mirpur Bridge","L1",2013,"DO","December",1.5
"Mirpur Bridge","L1",2014,"DO","January",1.2
"Mirpur Bridge","L1",2014,"DO","February",0.75
"Mirpur Bridge","L1",2014,"DO","March",1
"Mirpur Bridge","L1",2014,"DO","April",0.7
"Mirpur Bridge","L1",2014,"DO","May",2.5
"Mirpur Bridge","L1",2014,"DO","June",1.3
"Mirpur Bridge","L1",2014,"DO","July",3
